DFD,DF,F2F,FS,NS
77.025,89.25,84.275,79.225,93.425
77.05,87.7,79.95,73.925,93.675
75.55,86.15,71.3,68.525,87.4
78.525,90.375,75.425,75.4,88.52499999999999
80.45,87.575,87.625,82.1,93.89999999999999
 , , , , 
78.875,86.125,84.125,84.675,95.22500000000001
78.0,86.4,78.95,80.675,95.025
77.17500000000001,84.2,69.95,74.97500000000001,90.45
79.225,90.075,74.2,80.425,89.875
82.89999999999999,86.47500000000001,86.9,85.65,95.1
 , , , , 
80.30000000000001,88.52499999999999,83.625,84.6,94.525
77.9,88.94999999999999,78.625,80.25,94.575
78.725,86.02499999999999,69.975,74.4,89.47500000000001
80.325,91.425,73.65,81.10000000000001,89.375
82.475,88.725,86.675,85.625,94.69999999999999
 , , , , 
81.975,93.95,91.60000000000001,90.8,98.75
83.1,94.3,86.5,86.775,99.125
81.675,91.57499999999999,78.975,83.55,96.0
83.775,94.625,82.65,86.725,96.0
83.8,92.475,90.95,90.275,97.35000000000001
 , , , , 
83.15,96.125,92.60000000000001,92.77499999999999,98.9
83.3,96.85000000000001,87.52499999999999,88.5,99.0
81.55,94.425,82.35,85.65,95.85000000000001
84.82499999999999,96.925,84.425,89.125,96.25
85.25,96.475,92.425,90.85,97.7
 , , , , 
84.275,96.075,93.55,93.2,98.875
83.8,97.35000000000001,89.1,89.325,99.275
83.25,95.42500000000001,83.875,85.875,96.2
85.725,97.5,85.82499999999999,88.44999999999999,96.39999999999999
86.05000000000001,95.72500000000001,93.425,90.47500000000001,97.625
 , , , , 
89.825,95.22500000000001,93.75,96.525,98.75
87.52499999999999,96.6,90.8,94.075,98.9
89.825,93.05,84.85000000000001,92.925,95.65
91.3,96.95,87.45,94.65,95.85000000000001
88.85,95.6,94.0,95.45,97.125
 , , , , 
90.525,96.575,94.19999999999999,97.25,98.95
89.925,98.2,91.825,95.1,99.125
91.175,95.825,85.9,93.72500000000001,95.95
92.675,98.0,89.0,95.1,96.35000000000001
91.77499999999999,97.1,94.65,96.25,97.625
 , , , , 
90.45,96.575,95.35,96.95,99.175
91.14999999999999,98.6,92.72500000000001,94.825,99.325
91.9,97.225,87.85,93.30000000000001,96.3
91.175,98.675,90.10000000000001,95.22500000000001,96.72500000000001
90.425,98.0,95.875,96.72500000000001,98.225
 , , , , 
93.75,97.65,94.925,98.1,99.3
91.05,98.425,95.175,96.45,99.375
94.6,97.225,90.025,96.0,97.45
94.19999999999999,98.625,92.45,96.975,97.32499999999999
94.35,98.1,96.22500000000001,96.85000000000001,98.6
 , , , , 
94.72500000000001,97.875,96.05,99.125,99.65
94.475,98.875,96.8,97.375,99.8
97.05,97.725,92.525,97.975,97.625
95.075,98.52499999999999,94.39999999999999,98.175,97.925
96.975,98.55000000000001,97.32499999999999,98.75,98.575
 , , , , 
95.75,98.4,97.575,99.225,99.375
95.475,99.0,97.3,97.55,99.25
98.125,98.65,92.35,97.875,96.775
97.375,98.9,95.175,97.875,97.375
98.4,98.875,98.5,98.775,98.475
 , , , , 
